goos: linux
goarch: amd64
pkg: github.com/lkumarjain/benchmark-expression-evaluation
cpu: 11th Gen Intel(R) Core(TM) i7-1165G7 @ 2.80GHz
BenchmarkExpr/Simple/Compile-2         	   10000	      7068 ns/op	    3856 B/op	      73 allocs/op
BenchmarkExpr/Simple/Compile-2         	   10000	      6538 ns/op	    3856 B/op	      73 allocs/op
BenchmarkExpr/Simple/Compile-2         	   10000	      9929 ns/op	    3856 B/op	      73 allocs/op
BenchmarkExpr/Simple/Compile-2         	   10000	      8135 ns/op	    3856 B/op	      73 allocs/op
BenchmarkExpr/Simple/Compile-2         	   10000	     12171 ns/op	    3856 B/op	      73 allocs/op
BenchmarkExpr/Simple/Evaluate-2        	   10000	        99.29 ns/op	     112 B/op	       2 allocs/op
BenchmarkExpr/Simple/Evaluate-2        	   10000	        91.58 ns/op	     112 B/op	       2 allocs/op
BenchmarkExpr/Simple/Evaluate-2        	   10000	        78.50 ns/op	     112 B/op	       2 allocs/op
BenchmarkExpr/Simple/Evaluate-2        	   10000	        90.07 ns/op	     112 B/op	       2 allocs/op
BenchmarkExpr/Simple/Evaluate-2        	   10000	        84.37 ns/op	     112 B/op	       2 allocs/op
BenchmarkExpr/Complex/Compile-2        	   10000	     28993 ns/op	   12650 B/op	     162 allocs/op
BenchmarkExpr/Complex/Compile-2        	   10000	     26798 ns/op	   12650 B/op	     162 allocs/op
BenchmarkExpr/Complex/Compile-2        	   10000	     16844 ns/op	   12650 B/op	     162 allocs/op
BenchmarkExpr/Complex/Compile-2        	   10000	     14845 ns/op	   12650 B/op	     162 allocs/op
BenchmarkExpr/Complex/Compile-2        	   10000	     13996 ns/op	   12650 B/op	     162 allocs/op
BenchmarkExpr/Complex/Evaluate-2       	   10000	       164.0 ns/op	     112 B/op	       2 allocs/op
BenchmarkExpr/Complex/Evaluate-2       	   10000	       136.3 ns/op	     112 B/op	       2 allocs/op
BenchmarkExpr/Complex/Evaluate-2       	   10000	       146.7 ns/op	     112 B/op	       2 allocs/op
BenchmarkExpr/Complex/Evaluate-2       	   10000	       167.1 ns/op	     112 B/op	       2 allocs/op
BenchmarkExpr/Complex/Evaluate-2       	   10000	       139.7 ns/op	     112 B/op	       2 allocs/op
BenchmarkCelGO/Simple/Compile-2        	   10000	     42782 ns/op	   28599 B/op	     368 allocs/op
BenchmarkCelGO/Simple/Compile-2        	   10000	     78396 ns/op	   28596 B/op	     368 allocs/op
BenchmarkCelGO/Simple/Compile-2        	   10000	     54931 ns/op	   28596 B/op	     368 allocs/op
BenchmarkCelGO/Simple/Compile-2        	   10000	     46990 ns/op	   28595 B/op	     368 allocs/op
BenchmarkCelGO/Simple/Compile-2        	   10000	     44672 ns/op	   28606 B/op	     368 allocs/op
