goos: linux
goarch: amd64
pkg: github.com/lkumarjain/benchmark-in-memory-cache
cpu: 11th Gen Intel(R) Core(TM) i7-1165G7 @ 2.80GHz
BenchmarkAkyotoCache/01KB/Set-2         	  100000	      1630 ns/op	    1376 B/op	      11 allocs/op
BenchmarkAkyotoCache/01KB/Set-2         	  100000	      2240 ns/op	    1271 B/op	       8 allocs/op
BenchmarkAkyotoCache/01KB/Set-2         	  100000	      1626 ns/op	    1271 B/op	       8 allocs/op
BenchmarkAkyotoCache/01KB/Set-2         	  100000	       965.7 ns/op	    1271 B/op	       8 allocs/op
BenchmarkAkyotoCache/01KB/Set-2         	  100000	       850.9 ns/op	    1271 B/op	       8 allocs/op
BenchmarkAkyotoCache/01KB/Get-2         	  100000	       237.2 ns/op	      39 B/op	       2 allocs/op
BenchmarkAkyotoCache/01KB/Get-2         	  100000	       238.0 ns/op	      39 B/op	       2 allocs/op
BenchmarkAkyotoCache/01KB/Get-2         	  100000	       217.7 ns/op	      39 B/op	       2 allocs/op
BenchmarkAkyotoCache/01KB/Get-2         	  100000	       261.5 ns/op	      39 B/op	       2 allocs/op
BenchmarkAkyotoCache/01KB/Get-2         	  100000	       225.7 ns/op	      39 B/op	       2 allocs/op
BenchmarkAkyotoCache/01KB/Remove-2      	  100000	       182.3 ns/op	      39 B/op	       2 allocs/op
BenchmarkAkyotoCache/01KB/Remove-2      	  100000	       177.8 ns/op	      39 B/op	       2 allocs/op
BenchmarkAkyotoCache/01KB/Remove-2      	  100000	       176.1 ns/op	      39 B/op	       2 allocs/op
BenchmarkAkyotoCache/01KB/Remove-2      	  100000	       184.3 ns/op	      39 B/op	       2 allocs/op
BenchmarkAkyotoCache/01KB/Remove-2      	  100000	       185.2 ns/op	      39 B/op	       2 allocs/op
BenchmarkAkyotoCache/05KB/Set-2         	  100000	      4975 ns/op	    5600 B/op	      11 allocs/op
BenchmarkAkyotoCache/05KB/Set-2         	  100000	      4237 ns/op	    5495 B/op	       8 allocs/op
BenchmarkAkyotoCache/05KB/Set-2         	  100000	      2102 ns/op	    5495 B/op	       8 allocs/op
BenchmarkAkyotoCache/05KB/Set-2         	  100000	      2163 ns/op	    5495 B/op	       8 allocs/op
BenchmarkAkyotoCache/05KB/Set-2         	  100000	      1670 ns/op	    5495 B/op	       8 allocs/op
BenchmarkAkyotoCache/05KB/Get-2         	  100000	       246.7 ns/op	      39 B/op	       2 allocs/op
BenchmarkAkyotoCache/05KB/Get-2         	  100000	       224.6 ns/op	      39 B/op	       2 allocs/op
BenchmarkAkyotoCache/05KB/Get-2         	  100000	       233.1 ns/op	      39 B/op	       2 allocs/op
BenchmarkAkyotoCache/05KB/Get-2         	  100000	       226.6 ns/op	      39 B/op	       2 allocs/op
BenchmarkAkyotoCache/05KB/Get-2         	  100000	       228.8 ns/op	      39 B/op	       2 allocs/op
BenchmarkAkyotoCache/05KB/Remove-2      	  100000	       205.5 ns/op	      39 B/op	       2 allocs/op
BenchmarkAkyotoCache/05KB/Remove-2      	  100000	       208.2 ns/op	      39 B/op	       2 allocs/op
BenchmarkAkyotoCache/05KB/Remove-2      	  100000	       201.1 ns/op	      39 B/op	       2 allocs/op
BenchmarkAkyotoCache/05KB/Remove-2      	  100000	       221.9 ns/op	      39 B/op	       2 allocs/op
BenchmarkAkyotoCache/05KB/Remove-2      	  100000	       179.5 ns/op	      39 B/op	       2 allocs/op
BenchmarkAkyotoCache/10KB/Set-2         	  100000	      4171 ns/op	   11104 B/op	      11 allocs/op
BenchmarkAkyotoCache/10KB/Set-2         	  100000	      7459 ns/op	   10999 B/op	       8 allocs/op
BenchmarkAkyotoCache/10KB/Set-2         	  100000	      2454 ns/op	   10999 B/op	       8 allocs/op
BenchmarkAkyotoCache/10KB/Set-2         	  100000	      3576 ns/op	   11000 B/op	       8 allocs/op
BenchmarkAkyotoCache/10KB/Set-2         	  100000	      2249 ns/op	   10999 B/op	       8 allocs/op
BenchmarkAkyotoCache/10KB/Get-2         	  100000	       270.4 ns/op	      39 B/op	       2 allocs/op
BenchmarkAkyotoCache/10KB/Get-2         	  100000	       230.8 ns/op	      39 B/op	       2 allocs/op
BenchmarkAkyotoCache/10KB/Get-2         	  100000	       257.2 ns/op	      39 B/op	       2 allocs/op
BenchmarkAkyotoCache/10KB/Get-2         	  100000	       272.4 ns/op	      39 B/op	       2 allocs/op
BenchmarkAkyotoCache/10KB/Get-2         	  100000	       264.4 ns/op	      39 B/op	       2 allocs/op
BenchmarkAkyotoCache/10KB/Remove-2      	  100000	       218.4 ns/op	      39 B/op	       2 allocs/op
BenchmarkAkyotoCache/10KB/Remove-2      	  100000	       189.9 ns/op	      39 B/op	       2 allocs/op
BenchmarkAkyotoCache/10KB/Remove-2      	  100000	       224.2 ns/op	      39 B/op	       2 allocs/op
BenchmarkAkyotoCache/10KB/Remove-2      	  100000	       183.1 ns/op	      39 B/op	       2 allocs/op
BenchmarkAkyotoCache/10KB/Remove-2      	  100000	       180.1 ns/op	      39 B/op	       2 allocs/op
BenchmarkBigCache/01KB/Set-2            	  100000	      1006 ns/op	    1232 B/op	       5 allocs/op
BenchmarkBigCache/01KB/Set-2            	  100000	      1008 ns/op	    1199 B/op	       4 allocs/op
BenchmarkBigCache/01KB/Set-2            	  100000	      1333 ns/op	    1203 B/op	       5 allocs/op
BenchmarkBigCache/01KB/Set-2            	  100000	       980.2 ns/op	    1215 B/op	       5 allocs/op
BenchmarkBigCache/01KB/Set-2            	  100000	      1085 ns/op	    1215 B/op	       5 allocs/op
BenchmarkBigCache/01KB/Get-2            	  100000	       591.9 ns/op	    1207 B/op	       4 allocs/op
BenchmarkBigCache/01KB/Get-2            	  100000	       671.6 ns/op	    1207 B/op	       4 allocs/op
BenchmarkBigCache/01KB/Get-2            	  100000	       699.3 ns/op	    1207 B/op	       4 allocs/op
BenchmarkBigCache/01KB/Get-2            	  100000	       835.2 ns/op	    1207 B/op	       4 allocs/op
BenchmarkBigCache/01KB/Get-2            	  100000	       673.5 ns/op	    1207 B/op	       4 allocs/op
BenchmarkBigCache/01KB/Remove-2         	  100000	       430.5 ns/op	      39 B/op	       2 allocs/op
BenchmarkBigCache/01KB/Remove-2         	  100000	       146.2 ns/op	      39 B/op	       2 allocs/op
BenchmarkBigCache/01KB/Remove-2         	  100000	       152.2 ns/op	      39 B/op	       2 allocs/op
BenchmarkBigCache/01KB/Remove-2         	  100000	       143.3 ns/op	      39 B/op	       2 allocs/op
BenchmarkBigCache/01KB/Remove-2         	  100000	       140.1 ns/op	      39 B/op	       2 allocs/op
BenchmarkBigCache/05KB/Set-2            	  100000	      2844 ns/op	    5580 B/op	       5 allocs/op
BenchmarkBigCache/05KB/Set-2            	  100000	      2781 ns/op	    5439 B/op	       5 allocs/op
BenchmarkBigCache/05KB/Set-2            	  100000	      3274 ns/op	    5439 B/op	       5 allocs/op
BenchmarkBigCache/05KB/Set-2            	  100000	      3317 ns/op	    5440 B/op	       5 allocs/op
BenchmarkBigCache/05KB/Set-2            	  100000	      3015 ns/op	    5439 B/op	       5 allocs/op
BenchmarkBigCache/05KB/Get-2            	  100000	      1901 ns/op	    2967 B/op	       4 allocs/op
BenchmarkBigCache/05KB/Get-2            	  100000	      1518 ns/op	    2967 B/op	       4 allocs/op
BenchmarkBigCache/05KB/Get-2            	  100000	      1256 ns/op	    2967 B/op	       4 allocs/op
BenchmarkBigCache/05KB/Get-2            	  100000	      1139 ns/op	    2967 B/op	       4 allocs/op
BenchmarkBigCache/05KB/Get-2            	  100000	      1175 ns/op	    2967 B/op	       4 allocs/op
BenchmarkBigCache/05KB/Remove-2         	  100000	       636.9 ns/op	      39 B/op	       2 allocs/op
BenchmarkBigCache/05KB/Remove-2         	  100000	       159.3 ns/op	      39 B/op	       2 allocs/op
BenchmarkBigCache/05KB/Remove-2         	  100000	       175.2 ns/op	      39 B/op	       2 allocs/op
BenchmarkBigCache/05KB/Remove-2         	  100000	       162.2 ns/op	      39 B/op	       2 allocs/op
BenchmarkBigCache/05KB/Remove-2         	  100000	       320.6 ns/op	      39 B/op	       2 allocs/op
BenchmarkBigCache/10KB/Set-2            	  100000	      5943 ns/op	   11249 B/op	       5 allocs/op
