goos: linux
goarch: amd64
pkg: github.com/lkumarjain/benchmark-json
cpu: 11th Gen Intel(R) Core(TM) i7-1165G7 @ 2.80GHz
BenchmarkJsonParser/01KB/Iterate@Object-2         	  100000	      3699 ns/op	     464 B/op	      37 allocs/op
BenchmarkJsonParser/01KB/Iterate@Object-2         	  100000	      3527 ns/op	     464 B/op	      37 allocs/op
BenchmarkJsonParser/01KB/Iterate@Object-2         	  100000	      3529 ns/op	     464 B/op	      37 allocs/op
BenchmarkJsonParser/01KB/Iterate@Object-2         	  100000	      3837 ns/op	     464 B/op	      37 allocs/op
BenchmarkJsonParser/01KB/Iterate@Object-2         	  100000	      3678 ns/op	     464 B/op	      37 allocs/op
BenchmarkJsonParser/01KB/Iterate@Get-2            	  100000	      7657 ns/op	     464 B/op	      37 allocs/op
BenchmarkJsonParser/01KB/Iterate@Get-2            	  100000	      6042 ns/op	     464 B/op	      37 allocs/op
BenchmarkJsonParser/01KB/Iterate@Get-2            	  100000	      5932 ns/op	     464 B/op	      37 allocs/op
BenchmarkJsonParser/01KB/Iterate@Get-2            	  100000	      5981 ns/op	     464 B/op	      37 allocs/op
BenchmarkJsonParser/01KB/Iterate@Get-2            	  100000	      5849 ns/op	     464 B/op	      37 allocs/op
BenchmarkJsonParser/01KB/Struct@Object-2          	  100000	      4002 ns/op	    1616 B/op	      38 allocs/op
BenchmarkJsonParser/01KB/Struct@Object-2          	  100000	      4028 ns/op	    1616 B/op	      38 allocs/op
BenchmarkJsonParser/01KB/Struct@Object-2          	  100000	      3948 ns/op	    1616 B/op	      38 allocs/op
BenchmarkJsonParser/01KB/Struct@Object-2          	  100000	      3967 ns/op	    1616 B/op	      38 allocs/op
BenchmarkJsonParser/01KB/Struct@Object-2          	  100000	      4086 ns/op	    1616 B/op	      38 allocs/op
BenchmarkJsonParser/01KB/Struct@Get-2             	  100000	      6787 ns/op	    1616 B/op	      38 allocs/op
BenchmarkJsonParser/01KB/Struct@Get-2             	  100000	      7418 ns/op	    1616 B/op	      38 allocs/op
BenchmarkJsonParser/01KB/Struct@Get-2             	  100000	      6686 ns/op	    1616 B/op	      38 allocs/op
BenchmarkJsonParser/01KB/Struct@Get-2             	  100000	      6713 ns/op	    1616 B/op	      38 allocs/op
BenchmarkJsonParser/01KB/Struct@Get-2             	  100000	      6643 ns/op	    1616 B/op	      38 allocs/op
BenchmarkJsonParser/01KB/Interface@Object-2       	  100000	      7256 ns/op	    4656 B/op	      95 allocs/op
BenchmarkJsonParser/01KB/Interface@Object-2       	  100000	      7482 ns/op	    4656 B/op	      95 allocs/op
BenchmarkJsonParser/01KB/Interface@Object-2       	  100000	      7138 ns/op	    4656 B/op	      95 allocs/op
BenchmarkJsonParser/01KB/Interface@Object-2       	  100000	      6892 ns/op	    4656 B/op	      95 allocs/op
BenchmarkJsonParser/01KB/Interface@Object-2       	  100000	      7017 ns/op	    4656 B/op	      95 allocs/op
BenchmarkJsonParser/01KB/Interface@Get-2          	  100000	      9780 ns/op	    4656 B/op	      95 allocs/op
BenchmarkJsonParser/01KB/Interface@Get-2          	  100000	      9852 ns/op	    4656 B/op	      95 allocs/op
BenchmarkJsonParser/01KB/Interface@Get-2          	  100000	      9969 ns/op	    4656 B/op	      95 allocs/op
BenchmarkJsonParser/01KB/Interface@Get-2          	  100000	     10159 ns/op	    4656 B/op	      95 allocs/op
