goos: linux
goarch: amd64
pkg: github.com/lkumarjain/benchmark/kafkaclient
cpu: Intel(R) Xeon(R) Platinum 8175M CPU @ 2.50GHz
BenchmarkConsumer/01KB/Confluent@ConsumePoll-8         	   10000	     12588 ns/op	    1476 B/op	       7 allocs/op
BenchmarkConsumer/01KB/Confluent@ConsumePoll-8         	   10000	     10470 ns/op	    1476 B/op	       8 allocs/op
BenchmarkConsumer/01KB/Confluent@ConsumePoll-8         	   10000	      5348 ns/op	    1476 B/op	       7 allocs/op
BenchmarkConsumer/01KB/Confluent@ConsumePoll-8         	   10000	      8067 ns/op	    1476 B/op	       7 allocs/op
BenchmarkConsumer/01KB/Confluent@ConsumePoll-8         	   10000	      6203 ns/op	    1476 B/op	       7 allocs/op
BenchmarkConsumer/01KB/Confluent@ConsumeEvent-8        	   10000	      7376 ns/op	    1481 B/op	       8 allocs/op
BenchmarkConsumer/01KB/Confluent@ConsumeEvent-8        	   10000	      8163 ns/op	    1477 B/op	       8 allocs/op
BenchmarkConsumer/01KB/Confluent@ConsumeEvent-8        	   10000	      6368 ns/op	    1481 B/op	       8 allocs/op
BenchmarkConsumer/01KB/Confluent@ConsumeEvent-8        	   10000	      5934 ns/op	    1477 B/op	       8 allocs/op
BenchmarkConsumer/01KB/Confluent@ConsumeEvent-8        	   10000	      5267 ns/op	    1480 B/op	       8 allocs/op
BenchmarkConsumer/01KB/Franz@ConsumeRecord-8           	   10000	      7547 ns/op	    1452 B/op	       3 allocs/op
BenchmarkConsumer/01KB/Franz@ConsumeRecord-8           	   10000	      6358 ns/op	    1233 B/op	       3 allocs/op
BenchmarkConsumer/01KB/Franz@ConsumeRecord-8           	   10000	      7582 ns/op	    1235 B/op	       3 allocs/op
BenchmarkConsumer/01KB/Franz@ConsumeRecord-8           	   10000	      8079 ns/op	    1553 B/op	       3 allocs/op
BenchmarkConsumer/01KB/Franz@ConsumeRecord-8           	   10000	      7260 ns/op	    1473 B/op	       3 allocs/op
BenchmarkConsumer/01KB/Franz@ConsumePartition-8        	   10000	      7029 ns/op	    1243 B/op	       2 allocs/op
BenchmarkConsumer/01KB/Franz@ConsumePartition-8        	   10000	     11529 ns/op	    1635 B/op	       2 allocs/op
BenchmarkConsumer/01KB/Franz@ConsumePartition-8        	   10000	      6516 ns/op	    1322 B/op	       2 allocs/op
BenchmarkConsumer/01KB/Franz@ConsumePartition-8        	   10000	      7561 ns/op	    1425 B/op	       2 allocs/op
BenchmarkConsumer/01KB/Franz@ConsumePartition-8        	   10000	      7556 ns/op	    1312 B/op	       2 allocs/op
BenchmarkConsumer/01KB/Goka@Consumer-8                 	   10000	       207.6 ns/op	     111 B/op	       0 allocs/op
BenchmarkConsumer/01KB/Goka@Consumer-8                 	   10000	       190.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkConsumer/01KB/Goka@Consumer-8                 	   10000	       290.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkConsumer/01KB/Goka@Consumer-8                 	   10000	       217.0 ns/op	      14 B/op	       0 allocs/op
BenchmarkConsumer/01KB/Goka@Consumer-8                 	   10000	       190.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkConsumer/01KB/Sarama@ConsumerGroup-8          	   10000	       217.9 ns/op	       1 B/op	       0 allocs/op
BenchmarkConsumer/01KB/Sarama@ConsumerGroup-8          	   10000	       199.0 ns/op	       1 B/op	       0 allocs/op
BenchmarkConsumer/01KB/Sarama@ConsumerGroup-8          	   10000	       242.8 ns/op	       3 B/op	       0 allocs/op
BenchmarkConsumer/01KB/Sarama@ConsumerGroup-8          	   10000	       210.4 ns/op	       1 B/op	       0 allocs/op
BenchmarkConsumer/01KB/Sarama@ConsumerGroup-8          	   10000	       197.5 ns/op	       2 B/op	       0 allocs/op
BenchmarkConsumer/01KB/Sarama@ConsumePartition-8       	   10000	       452.1 ns/op	      22 B/op	       0 allocs/op
BenchmarkConsumer/01KB/Sarama@ConsumePartition-8       	   10000	       452.8 ns/op	       2 B/op	       0 allocs/op
BenchmarkConsumer/01KB/Sarama@ConsumePartition-8       	   10000	       481.5 ns/op	      64 B/op	       0 allocs/op
BenchmarkConsumer/01KB/Sarama@ConsumePartition-8       	   10000	       443.6 ns/op	       7 B/op	       0 allocs/op
BenchmarkConsumer/01KB/Sarama@ConsumePartition-8       	   10000	       468.4 ns/op	      21 B/op	       0 allocs/op
BenchmarkConsumer/01KB/Segmentio@ConsumerFetch-8       	   10000	      3130 ns/op	    1583 B/op	       3 allocs/op
BenchmarkConsumer/01KB/Segmentio@ConsumerFetch-8       	   10000	      3482 ns/op	    1548 B/op	       3 allocs/op
BenchmarkConsumer/01KB/Segmentio@ConsumerFetch-8       	   10000	      2991 ns/op	    1553 B/op	       3 allocs/op
BenchmarkConsumer/01KB/Segmentio@ConsumerFetch-8       	   10000	      3180 ns/op	    1547 B/op	       3 allocs/op
BenchmarkConsumer/01KB/Segmentio@ConsumerFetch-8       	   10000	      2862 ns/op	    1508 B/op	       3 allocs/op
BenchmarkConsumer/05KB/Confluent@ConsumePoll-8         	   10000	     89469 ns/op	    5700 B/op	       8 allocs/op
BenchmarkConsumer/05KB/Confluent@ConsumePoll-8         	   10000	     35826 ns/op	    5699 B/op	       8 allocs/op
BenchmarkConsumer/05KB/Confluent@ConsumePoll-8         	   10000	     35283 ns/op	    5699 B/op	       8 allocs/op
BenchmarkConsumer/05KB/Confluent@ConsumePoll-8         	   10000	     33850 ns/op	    5699 B/op	       8 allocs/op
BenchmarkConsumer/05KB/Confluent@ConsumePoll-8         	   10000	     32695 ns/op	    5699 B/op	       7 allocs/op
BenchmarkConsumer/05KB/Confluent@ConsumeEvent-8        	   10000	     33305 ns/op	    5702 B/op	       8 allocs/op
BenchmarkConsumer/05KB/Confluent@ConsumeEvent-8        	   10000	     35628 ns/op	    5693 B/op	       8 allocs/op
BenchmarkConsumer/05KB/Confluent@ConsumeEvent-8        	   10000	     34391 ns/op	    5691 B/op	       7 allocs/op
BenchmarkConsumer/05KB/Confluent@ConsumeEvent-8        	   10000	     31877 ns/op	    5695 B/op	       8 allocs/op
BenchmarkConsumer/05KB/Confluent@ConsumeEvent-8        	   10000	     34174 ns/op	    5693 B/op	       8 allocs/op
BenchmarkConsumer/05KB/Franz@ConsumeRecord-8           	   10000	     33153 ns/op	    5735 B/op	       4 allocs/op
BenchmarkConsumer/05KB/Franz@ConsumeRecord-8           	   10000	     34473 ns/op	    5728 B/op	       4 allocs/op
BenchmarkConsumer/05KB/Franz@ConsumeRecord-8           	   10000	     37355 ns/op	    5929 B/op	       4 allocs/op
BenchmarkConsumer/05KB/Franz@ConsumeRecord-8           	   10000	     35762 ns/op	    5629 B/op	       4 allocs/op
