goos: darwin
goarch: arm64
pkg: github.com/lkumarjain/benchmark/kafka-client
BenchmarkConsumer/1KB_-_Confluent@ConsumePoll-8         	  100000	     10664 ns/op	    1476 B/op	       9 allocs/op
BenchmarkConsumer/1KB_-_Confluent@ConsumePoll-8         	  100000	     10318 ns/op	    1476 B/op	       9 allocs/op
BenchmarkConsumer/1KB_-_Confluent@ConsumePoll-8         	  100000	     10711 ns/op	    1476 B/op	       9 allocs/op
BenchmarkConsumer/1KB_-_Confluent@ConsumePoll-8         	  100000	     10704 ns/op	    1476 B/op	       9 allocs/op
BenchmarkConsumer/1KB_-_Confluent@ConsumePoll-8         	  100000	     10720 ns/op	    1476 B/op	       9 allocs/op
BenchmarkConsumer/1KB_-_Confluent@ConsumeEvent-8        	  100000	     16657 ns/op	    1471 B/op	       8 allocs/op
BenchmarkConsumer/1KB_-_Confluent@ConsumeEvent-8        	  100000	     10635 ns/op	    1461 B/op	       8 allocs/op
BenchmarkConsumer/1KB_-_Confluent@ConsumeEvent-8        	  100000	     10231 ns/op	    1462 B/op	       8 allocs/op
BenchmarkConsumer/1KB_-_Confluent@ConsumeEvent-8        	  100000	     12538 ns/op	    1462 B/op	       8 allocs/op
BenchmarkConsumer/1KB_-_Confluent@ConsumeEvent-8        	  100000	     10228 ns/op	    1461 B/op	       8 allocs/op
BenchmarkConsumer/1KB_-_Franz@ConsumeRecord-8           	  100000	     10722 ns/op	    1586 B/op	       1 allocs/op
BenchmarkConsumer/1KB_-_Franz@ConsumeRecord-8           	  100000	     10208 ns/op	    1657 B/op	       2 allocs/op
BenchmarkConsumer/1KB_-_Franz@ConsumeRecord-8           	  100000	     10173 ns/op	    1660 B/op	       2 allocs/op
BenchmarkConsumer/1KB_-_Franz@ConsumeRecord-8           	  100000	     10291 ns/op	    1656 B/op	       2 allocs/op
BenchmarkConsumer/1KB_-_Franz@ConsumeRecord-8           	  100000	     11039 ns/op	    1657 B/op	       2 allocs/op
BenchmarkConsumer/1KB_-_Franz@ConsumePartition-8        	  100000	      8125 ns/op	    1562 B/op	       0 allocs/op
BenchmarkConsumer/1KB_-_Franz@ConsumePartition-8        	  100000	     10204 ns/op	    1633 B/op	       1 allocs/op
BenchmarkConsumer/1KB_-_Franz@ConsumePartition-8        	  100000	     10091 ns/op	    1636 B/op	       1 allocs/op
BenchmarkConsumer/1KB_-_Franz@ConsumePartition-8        	  100000	     11884 ns/op	    1632 B/op	       1 allocs/op
BenchmarkConsumer/1KB_-_Franz@ConsumePartition-8        	  100000	     10095 ns/op	    1633 B/op	       1 allocs/op
BenchmarkConsumer/1KB_-_Goka@Consumer-8                 	  100000	       247.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkConsumer/1KB_-_Goka@Consumer-8                 	  100000	       254.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkConsumer/1KB_-_Goka@Consumer-8                 	  100000	       240.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkConsumer/1KB_-_Goka@Consumer-8                 	  100000	       237.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkConsumer/1KB_-_Goka@Consumer-8                 	  100000	       244.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkConsumer/1KB_-_Sarama@ConsumerGroup-8          	  100000	       320.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkConsumer/1KB_-_Sarama@ConsumerGroup-8          	  100000	       212.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkConsumer/1KB_-_Sarama@ConsumerGroup-8          	  100000	       141.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkConsumer/1KB_-_Sarama@ConsumerGroup-8          	  100000	       179.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkConsumer/1KB_-_Sarama@ConsumerGroup-8          	  100000	       341.3 ns/op	      10 B/op	       0 allocs/op
BenchmarkConsumer/1KB_-_Sarama@ConsumePartition-8       	  100000	      7984 ns/op	    1242 B/op	       0 allocs/op
BenchmarkConsumer/1KB_-_Sarama@ConsumePartition-8       	  100000	     10522 ns/op	    1318 B/op	       1 allocs/op
