goos: linux
goarch: amd64
pkg: github.com/lkumarjain/benchmark/kafkaclient
cpu: Intel(R) Xeon(R) Platinum 8175M CPU @ 2.50GHz
BenchmarkProducer/01KB/Confluent@ProduceSync-8         	   10000	  51054595 ns/op	    4040 B/op	      22 allocs/op
BenchmarkProducer/01KB/Confluent@ProduceSync-8         	   10000	  51029625 ns/op	    4040 B/op	      22 allocs/op
BenchmarkProducer/01KB/Confluent@ProduceSync-8         	   10000	  51047234 ns/op	    4040 B/op	      22 allocs/op
BenchmarkProducer/01KB/Confluent@ProduceSync-8         	   10000	  51015519 ns/op	    4040 B/op	      22 allocs/op
BenchmarkProducer/01KB/Confluent@ProduceSync-8         	   10000	  51014866 ns/op	    4040 B/op	      22 allocs/op
BenchmarkProducer/01KB/Confluent@ProduceAsync-8        	   10000	      9855 ns/op	    3801 B/op	      15 allocs/op
BenchmarkProducer/01KB/Confluent@ProduceAsync-8        	   10000	      5217 ns/op	    3800 B/op	      15 allocs/op
BenchmarkProducer/01KB/Confluent@ProduceAsync-8        	   10000	      5016 ns/op	    3801 B/op	      15 allocs/op
BenchmarkProducer/01KB/Confluent@ProduceAsync-8        	   10000	      5027 ns/op	    3800 B/op	      15 allocs/op
BenchmarkProducer/01KB/Confluent@ProduceAsync-8        	   10000	      4854 ns/op	    3800 B/op	      15 allocs/op
BenchmarkProducer/01KB/Franz@ProduceSync-8             	   10000	   3326267 ns/op	    5012 B/op	      61 allocs/op
BenchmarkProducer/01KB/Franz@ProduceSync-8             	   10000	   3270252 ns/op	    4946 B/op	      61 allocs/op
BenchmarkProducer/01KB/Franz@ProduceSync-8             	   10000	   3271699 ns/op	    4954 B/op	      61 allocs/op
BenchmarkProducer/01KB/Franz@ProduceSync-8             	   10000	   3275171 ns/op	    4950 B/op	      61 allocs/op
BenchmarkProducer/01KB/Franz@ProduceSync-8             	   10000	   3271057 ns/op	    4948 B/op	      61 allocs/op
BenchmarkProducer/01KB/Franz@ProduceAsync-8            	   10000	      3757 ns/op	    3417 B/op	      14 allocs/op
BenchmarkProducer/01KB/Franz@ProduceAsync-8            	   10000	      3211 ns/op	    3363 B/op	      14 allocs/op
BenchmarkProducer/01KB/Franz@ProduceAsync-8            	   10000	      2775 ns/op	    3244 B/op	      14 allocs/op
BenchmarkProducer/01KB/Franz@ProduceAsync-8            	   10000	      2867 ns/op	    3211 B/op	      14 allocs/op
BenchmarkProducer/01KB/Franz@ProduceAsync-8            	   10000	      3004 ns/op	    3212 B/op	      14 allocs/op
BenchmarkProducer/01KB/Goka@ProduceSync-8              	   10000	 103643919 ns/op	    9658 B/op	      93 allocs/op
BenchmarkProducer/01KB/Goka@ProduceSync-8              	   10000	 103967554 ns/op	    9684 B/op	      94 allocs/op
BenchmarkProducer/01KB/Goka@ProduceSync-8              	   10000	 104000207 ns/op	    9613 B/op	      93 allocs/op
BenchmarkProducer/01KB/Goka@ProduceSync-8              	   10000	 104092484 ns/op	    9693 B/op	      94 allocs/op
BenchmarkProducer/01KB/Goka@ProduceSync-8              	   10000	 103908064 ns/op	    9579 B/op	      93 allocs/op
BenchmarkProducer/01KB/Goka@ProduceAsync-8             	   10000	     14829 ns/op	    5563 B/op	      23 allocs/op
BenchmarkProducer/01KB/Goka@ProduceAsync-8             	   10000	     14684 ns/op	    5570 B/op	      23 allocs/op
BenchmarkProducer/01KB/Goka@ProduceAsync-8             	   10000	     14585 ns/op	    5573 B/op	      23 allocs/op
BenchmarkProducer/01KB/Goka@ProduceAsync-8             	   10000	     14574 ns/op	    5568 B/op	      23 allocs/op
BenchmarkProducer/01KB/Goka@ProduceAsync-8             	   10000	     14548 ns/op	    5573 B/op	      23 allocs/op
BenchmarkProducer/01KB/Sarama@ProduceSync-8            	   10000	   3430204 ns/op	    8613 B/op	      79 allocs/op
BenchmarkProducer/01KB/Sarama@ProduceSync-8            	   10000	   3387967 ns/op	    8515 B/op	      79 allocs/op
BenchmarkProducer/01KB/Sarama@ProduceSync-8            	   10000	   3398240 ns/op	    8500 B/op	      79 allocs/op
BenchmarkProducer/01KB/Sarama@ProduceSync-8            	   10000	   3389560 ns/op	    8499 B/op	      79 allocs/op
BenchmarkProducer/01KB/Sarama@ProduceSync-8            	   10000	   3393855 ns/op	    8500 B/op	      79 allocs/op
BenchmarkProducer/01KB/Sarama@ProduceAsync-8           	   10000	     14378 ns/op	    5041 B/op	      12 allocs/op
BenchmarkProducer/01KB/Sarama@ProduceAsync-8           	   10000	      3712 ns/op	    5076 B/op	      14 allocs/op
BenchmarkProducer/01KB/Sarama@ProduceAsync-8           	   10000	      3181 ns/op	    5096 B/op	      14 allocs/op
BenchmarkProducer/01KB/Sarama@ProduceAsync-8           	   10000	      3603 ns/op	    5101 B/op	      14 allocs/op
BenchmarkProducer/01KB/Sarama@ProduceAsync-8           	   10000	      3534 ns/op	    5076 B/op	      14 allocs/op
BenchmarkProducer/01KB/Segmentio@ProduceSync-8         	   10000	  10302796 ns/op	   21897 B/op	      47 allocs/op
BenchmarkProducer/01KB/Segmentio@ProduceSync-8         	   10000	  10236542 ns/op	   21830 B/op	      47 allocs/op
BenchmarkProducer/01KB/Segmentio@ProduceSync-8         	   10000	  10228467 ns/op	   21840 B/op	      47 allocs/op
BenchmarkProducer/01KB/Segmentio@ProduceSync-8         	   10000	  10239202 ns/op	   21834 B/op	      47 allocs/op
BenchmarkProducer/01KB/Segmentio@ProduceSync-8         	   10000	  10605293 ns/op	   22052 B/op	      48 allocs/op
BenchmarkProducer/01KB/Segmentio@ProduceAsync-8        	   10000	     14556 ns/op	    3103 B/op	      13 allocs/op
BenchmarkProducer/01KB/Segmentio@ProduceAsync-8        	   10000	      3674 ns/op	    3053 B/op	      12 allocs/op
BenchmarkProducer/01KB/Segmentio@ProduceAsync-8        	   10000	      3565 ns/op	    2943 B/op	      12 allocs/op
BenchmarkProducer/01KB/Segmentio@ProduceAsync-8        	   10000	      3670 ns/op	    2932 B/op	      12 allocs/op
BenchmarkProducer/01KB/Segmentio@ProduceAsync-8        	   10000	      3645 ns/op	    2951 B/op	      12 allocs/op
BenchmarkProducer/05KB/Confluent@ProduceSync-8         	   10000	  51470834 ns/op	   17706 B/op	      34 allocs/op
BenchmarkProducer/05KB/Confluent@ProduceSync-8         	   10000	  51049730 ns/op	   17592 B/op	      34 allocs/op
BenchmarkProducer/05KB/Confluent@ProduceSync-8         	   10000	  51215557 ns/op	   17681 B/op	      34 allocs/op
BenchmarkProducer/05KB/Confluent@ProduceSync-8         	   10000	  51051525 ns/op	   17626 B/op	      34 allocs/op
BenchmarkProducer/05KB/Confluent@ProduceSync-8         	   10000	  51061003 ns/op	   17697 B/op	      34 allocs/op
BenchmarkProducer/05KB/Confluent@ProduceAsync-8        	   10000	     11521 ns/op	   16478 B/op	      15 allocs/op
BenchmarkProducer/05KB/Confluent@ProduceAsync-8        	   10000	     10889 ns/op	   16479 B/op	      15 allocs/op
