goos: linux
goarch: amd64
pkg: github.com/lkumarjain/benchmark/kafka-client
cpu: Intel(R) Core(TM) i7-7660U CPU @ 2.50GHz
BenchmarkProducer/1KB_-_Confluent@ProduceSync         	   10000	   9615959 ns/op	    4160 B/op	      32 allocs/op
BenchmarkProducer/1KB_-_Confluent@ProduceSync         	   10000	   9506578 ns/op	    4160 B/op	      32 allocs/op
BenchmarkProducer/1KB_-_Confluent@ProduceSync         	   10000	   9451010 ns/op	    4160 B/op	      32 allocs/op
BenchmarkProducer/1KB_-_Confluent@ProduceSync         	   10000	   9806939 ns/op	    4160 B/op	      32 allocs/op
BenchmarkProducer/1KB_-_Confluent@ProduceSync         	   10000	   9840867 ns/op	    4161 B/op	      32 allocs/op
BenchmarkProducer/1KB_-_Confluent@ProduceAsync         	   10000	     13885 ns/op	    3849 B/op	      18 allocs/op
BenchmarkProducer/1KB_-_Confluent@ProduceAsync         	   10000	      8269 ns/op	    3849 B/op	      18 allocs/op
BenchmarkProducer/1KB_-_Confluent@ProduceAsync         	   10000	      9560 ns/op	    3849 B/op	      18 allocs/op
BenchmarkProducer/1KB_-_Confluent@ProduceAsync         	   10000	      7888 ns/op	    3849 B/op	      18 allocs/op
BenchmarkProducer/1KB_-_Confluent@ProduceAsync         	   10000	      7275 ns/op	    3849 B/op	      18 allocs/op
BenchmarkProducer/1KB_-_Franz@ProduceSync             	   10000	   2666151 ns/op	    4708 B/op	      53 allocs/op
BenchmarkProducer/1KB_-_Franz@ProduceSync             	   10000	   3311414 ns/op	    4704 B/op	      53 allocs/op
BenchmarkProducer/1KB_-_Franz@ProduceSync             	   10000	   3389177 ns/op	    4708 B/op	      53 allocs/op
BenchmarkProducer/1KB_-_Franz@ProduceSync             	   10000	   3404397 ns/op	    4704 B/op	      53 allocs/op
BenchmarkProducer/1KB_-_Franz@ProduceSync             	   10000	   3364894 ns/op	    4714 B/op	      53 allocs/op
BenchmarkProducer/1KB_-_Franz@ProduceAsync             	   10000	      5019 ns/op	    3178 B/op	       9 allocs/op
BenchmarkProducer/1KB_-_Franz@ProduceAsync             	   10000	      2846 ns/op	    3173 B/op	       9 allocs/op
BenchmarkProducer/1KB_-_Franz@ProduceAsync             	   10000	      2706 ns/op	    3166 B/op	       9 allocs/op
BenchmarkProducer/1KB_-_Franz@ProduceAsync             	   10000	      2737 ns/op	    3359 B/op	       9 allocs/op
BenchmarkProducer/1KB_-_Franz@ProduceAsync             	   10000	      2764 ns/op	    3310 B/op	       9 allocs/op
BenchmarkProducer/1KB_-_Goka@ProduceSync              	   10000	 107122898 ns/op	    9395 B/op	      93 allocs/op
BenchmarkProducer/1KB_-_Goka@ProduceSync              	   10000	 106815527 ns/op	    9382 B/op	      93 allocs/op
BenchmarkProducer/1KB_-_Goka@ProduceSync              	   10000	 106810106 ns/op	    9386 B/op	      93 allocs/op
BenchmarkProducer/1KB_-_Goka@ProduceSync              	   10000	 106806111 ns/op	    9382 B/op	      93 allocs/op
BenchmarkProducer/1KB_-_Goka@ProduceSync              	   10000	 106521787 ns/op	    9385 B/op	      93 allocs/op
BenchmarkProducer/1KB_-_Goka@ProduceAsync              	   10000	     14470 ns/op	    5504 B/op	      22 allocs/op
BenchmarkProducer/1KB_-_Goka@ProduceAsync              	   10000	      4502 ns/op	    5492 B/op	      21 allocs/op
BenchmarkProducer/1KB_-_Goka@ProduceAsync              	   10000	      3625 ns/op	    5479 B/op	      21 allocs/op
BenchmarkProducer/1KB_-_Goka@ProduceAsync              	   10000	      4228 ns/op	    5503 B/op	      21 allocs/op
BenchmarkProducer/1KB_-_Goka@ProduceAsync              	   10000	      4957 ns/op	    5502 B/op	      21 allocs/op
BenchmarkProducer/1KB_-_Sarama@ProduceSync            	   10000	   2067282 ns/op	    8444 B/op	      78 allocs/op
BenchmarkProducer/1KB_-_Sarama@ProduceSync            	   10000	   2041076 ns/op	    8433 B/op	      78 allocs/op
BenchmarkProducer/1KB_-_Sarama@ProduceSync            	   10000	   2108565 ns/op	    8435 B/op	      78 allocs/op
BenchmarkProducer/1KB_-_Sarama@ProduceSync            	   10000	   2009693 ns/op	    8434 B/op	      78 allocs/op
BenchmarkProducer/1KB_-_Sarama@ProduceSync            	   10000	   2041580 ns/op	    8434 B/op	      78 allocs/op
BenchmarkProducer/1KB_-_Sarama@ProduceAsync            	   10000	     13411 ns/op	    4893 B/op	      12 allocs/op
BenchmarkProducer/1KB_-_Sarama@ProduceAsync            	   10000	      7198 ns/op	    4898 B/op	      12 allocs/op
BenchmarkProducer/1KB_-_Sarama@ProduceAsync            	   10000	      6928 ns/op	    4894 B/op	      12 allocs/op
