goos: darwin
goarch: arm64
pkg: github.com/lkumarjain/benchmark/kafka-client
BenchmarkProducer/1KB_-_Confluent@Produce-8         	    1000	   9564869 ns/op	    4161 B/op	      32 allocs/op
BenchmarkProducer/1KB_-_Confluent@Produce-8         	    1000	   9677703 ns/op	    4161 B/op	      32 allocs/op
BenchmarkProducer/1KB_-_Confluent@Produce-8         	    1000	   9555890 ns/op	    4161 B/op	      32 allocs/op
BenchmarkProducer/1KB_-_Confluent@Produce-8         	    1000	   9696474 ns/op	    4162 B/op	      32 allocs/op
BenchmarkProducer/1KB_-_Confluent@Produce-8         	    1000	   9531087 ns/op	    4162 B/op	      32 allocs/op
BenchmarkProducer/1KB_-_Confluent@ProduceChannel-8  	    1000	     33597 ns/op	    3850 B/op	      18 allocs/op
BenchmarkProducer/1KB_-_Confluent@ProduceChannel-8  	    1000	     27944 ns/op	    3850 B/op	      18 allocs/op
BenchmarkProducer/1KB_-_Confluent@ProduceChannel-8  	    1000	     28841 ns/op	    3850 B/op	      18 allocs/op
BenchmarkProducer/1KB_-_Confluent@ProduceChannel-8  	    1000	     22227 ns/op	    3850 B/op	      18 allocs/op
BenchmarkProducer/1KB_-_Confluent@ProduceChannel-8  	    1000	     23003 ns/op	    3851 B/op	      18 allocs/op
BenchmarkProducer/1KB_-_Franz@Produce-8             	    1000	   2511625 ns/op	    4744 B/op	      52 allocs/op
BenchmarkProducer/1KB_-_Franz@Produce-8             	    1000	   3362941 ns/op	    4737 B/op	      52 allocs/op
BenchmarkProducer/1KB_-_Franz@Produce-8             	    1000	   3079719 ns/op	    4747 B/op	      52 allocs/op
BenchmarkProducer/1KB_-_Franz@Produce-8             	    1000	   3091301 ns/op	    4747 B/op	      52 allocs/op
BenchmarkProducer/1KB_-_Franz@Produce-8             	    1000	   2750513 ns/op	    4748 B/op	      52 allocs/op
BenchmarkProducer/1KB_-_Franz@ProduceChannel-8      	    1000	     18004 ns/op	    3481 B/op	       9 allocs/op
BenchmarkProducer/1KB_-_Franz@ProduceChannel-8      	    1000	     16652 ns/op	    2641 B/op	       9 allocs/op
