goos: linux
goarch: amd64
pkg: github.com/lkumarjain/benchmark-sql-builder
cpu: 11th Gen Intel(R) Core(TM) i7-1165G7 @ 2.80GHz
BenchmarkGoqu/Insert/Simple-2         	 1000000	      2513 ns/op	    2160 B/op	      71 allocs/op
BenchmarkGoqu/Insert/Simple-2         	 1000000	      2598 ns/op	    2160 B/op	      71 allocs/op
BenchmarkGoqu/Insert/Simple-2         	 1000000	      2612 ns/op	    2160 B/op	      71 allocs/op
BenchmarkGoqu/Insert/Simple-2         	 1000000	      2741 ns/op	    2160 B/op	      71 allocs/op
BenchmarkGoqu/Insert/Simple-2         	 1000000	      2617 ns/op	    2160 B/op	      71 allocs/op
BenchmarkGoqu/Insert/Bulk-2           	 1000000	      5655 ns/op	    4136 B/op	     159 allocs/op
BenchmarkGoqu/Insert/Bulk-2           	 1000000	      5365 ns/op	    4136 B/op	     159 allocs/op
BenchmarkGoqu/Insert/Bulk-2           	 1000000	      6392 ns/op	    4136 B/op	     159 allocs/op
BenchmarkGoqu/Insert/Bulk-2           	 1000000	      8118 ns/op	    4136 B/op	     159 allocs/op
BenchmarkGoqu/Insert/Bulk-2           	 1000000	      6334 ns/op	    4136 B/op	     159 allocs/op
BenchmarkGoqu/Select/Simple-2         	 1000000	      3891 ns/op	    3296 B/op	      74 allocs/op
BenchmarkGoqu/Select/Simple-2         	 1000000	      4001 ns/op	    3296 B/op	      74 allocs/op
BenchmarkGoqu/Select/Simple-2         	 1000000	      3741 ns/op	    3296 B/op	      74 allocs/op
BenchmarkGoqu/Select/Simple-2         	 1000000	      3651 ns/op	    3296 B/op	      74 allocs/op
BenchmarkGoqu/Select/Simple-2         	 1000000	      3947 ns/op	    3296 B/op	      74 allocs/op
BenchmarkGoqu/Select/Join-2           	 1000000	      5265 ns/op	    4592 B/op	     112 allocs/op
BenchmarkGoqu/Select/Join-2           	 1000000	      5389 ns/op	    4592 B/op	     112 allocs/op
BenchmarkGoqu/Select/Join-2           	 1000000	      5380 ns/op	    4592 B/op	     112 allocs/op
BenchmarkGoqu/Select/Join-2           	 1000000	      5688 ns/op	    4592 B/op	     112 allocs/op
BenchmarkGoqu/Select/Join-2           	 1000000	      5823 ns/op	    4592 B/op	     112 allocs/op
BenchmarkGoqu/Update/Simple-2         	 1000000	      4838 ns/op	    2992 B/op	      88 allocs/op
BenchmarkGoqu/Update/Simple-2         	 1000000	      4512 ns/op	    2992 B/op	      88 allocs/op
BenchmarkGoqu/Update/Simple-2         	 1000000	      4367 ns/op	    2992 B/op	      88 allocs/op
BenchmarkGoqu/Update/Simple-2         	 1000000	      4299 ns/op	    2992 B/op	      88 allocs/op
BenchmarkGoqu/Update/Simple-2         	 1000000	      4235 ns/op	    2992 B/op	      88 allocs/op
BenchmarkGoqu/Update/Complex-2        	 1000000	      6917 ns/op	    4868 B/op	     141 allocs/op
BenchmarkGoqu/Update/Complex-2        	 1000000	      6752 ns/op	    4868 B/op	     141 allocs/op
BenchmarkGoqu/Update/Complex-2        	 1000000	      6484 ns/op	    4868 B/op	     141 allocs/op
BenchmarkGoqu/Update/Complex-2        	 1000000	      6428 ns/op	    4868 B/op	     141 allocs/op
BenchmarkGoqu/Update/Complex-2        	 1000000	      6509 ns/op	    4868 B/op	     141 allocs/op
BenchmarkGoqu/Delete/Simple-2         	 1000000	      2237 ns/op	    1624 B/op	      43 allocs/op
BenchmarkGoqu/Delete/Simple-2         	 1000000	      2184 ns/op	    1624 B/op	      43 allocs/op
BenchmarkGoqu/Delete/Simple-2         	 1000000	      2155 ns/op	    1624 B/op	      43 allocs/op
BenchmarkGoqu/Delete/Simple-2         	 1000000	      2201 ns/op	    1624 B/op	      43 allocs/op
BenchmarkGoqu/Delete/Simple-2         	 1000000	      2150 ns/op	    1624 B/op	      43 allocs/op
BenchmarkGoqu/Delete/Complex-2        	 1000000	      9656 ns/op	    6624 B/op	     251 allocs/op
BenchmarkGoqu/Delete/Complex-2        	 1000000	      9459 ns/op	    6624 B/op	     251 allocs/op
BenchmarkGoqu/Delete/Complex-2        	 1000000	      9491 ns/op	    6624 B/op	     251 allocs/op
BenchmarkGoqu/Delete/Complex-2        	 1000000	      9548 ns/op	    6624 B/op	     251 allocs/op
BenchmarkGoqu/Delete/Complex-2        	 1000000	      9864 ns/op	    6624 B/op	     251 allocs/op
BenchmarkDbr/Insert/Simple-2          	 1000000	       793.2 ns/op	     648 B/op	      18 allocs/op
BenchmarkDbr/Insert/Simple-2          	 1000000	       822.2 ns/op	     648 B/op	      18 allocs/op
BenchmarkDbr/Insert/Simple-2          	 1000000	       816.2 ns/op	     648 B/op	      18 allocs/op
BenchmarkDbr/Insert/Simple-2          	 1000000	       818.9 ns/op	     648 B/op	      18 allocs/op
BenchmarkDbr/Insert/Simple-2          	 1000000	       806.3 ns/op	     648 B/op	      18 allocs/op
BenchmarkDbr/Insert/Bulk-2            	 1000000	      1250 ns/op	    1224 B/op	      25 allocs/op
BenchmarkDbr/Insert/Bulk-2            	 1000000	      1269 ns/op	    1224 B/op	      25 allocs/op
BenchmarkDbr/Insert/Bulk-2            	 1000000	      1285 ns/op	    1224 B/op	      25 allocs/op
BenchmarkDbr/Insert/Bulk-2            	 1000000	      1260 ns/op	    1224 B/op	      25 allocs/op
BenchmarkDbr/Insert/Bulk-2            	 1000000	      1278 ns/op	    1224 B/op	      25 allocs/op
BenchmarkDbr/Select/Simple-2          	 1000000	       543.6 ns/op	     376 B/op	      12 allocs/op
BenchmarkDbr/Select/Simple-2          	 1000000	       544.3 ns/op	     376 B/op	      12 allocs/op
BenchmarkDbr/Select/Simple-2          	 1000000	       495.3 ns/op	     376 B/op	      12 allocs/op
BenchmarkDbr/Select/Simple-2          	 1000000	       480.7 ns/op	     376 B/op	      12 allocs/op
BenchmarkDbr/Select/Simple-2          	 1000000	       475.2 ns/op	     376 B/op	      12 allocs/op
BenchmarkDbr/Select/Join-2            	 1000000	       819.1 ns/op	     648 B/op	      17 allocs/op
BenchmarkDbr/Select/Join-2            	 1000000	       876.2 ns/op	     648 B/op	      17 allocs/op
BenchmarkDbr/Select/Join-2            	 1000000	       903.9 ns/op	     648 B/op	      17 allocs/op
BenchmarkDbr/Select/Join-2            	 1000000	       834.9 ns/op	     648 B/op	      17 allocs/op
BenchmarkDbr/Select/Join-2            	 1000000	       856.9 ns/op	     648 B/op	      17 allocs/op
BenchmarkDbr/Update/Simple-2          	 1000000	      1123 ns/op	     936 B/op	      21 allocs/op
BenchmarkDbr/Update/Simple-2          	 1000000	      1167 ns/op	     935 B/op	      21 allocs/op
BenchmarkDbr/Update/Simple-2          	 1000000	      1121 ns/op	     935 B/op	      21 allocs/op
BenchmarkDbr/Update/Simple-2          	 1000000	      1184 ns/op	     936 B/op	      21 allocs/op
BenchmarkDbr/Update/Simple-2          	 1000000	      1131 ns/op	     936 B/op	      21 allocs/op
BenchmarkDbr/Update/Complex-2         	 1000000	       158.2 ns/op	     240 B/op	       3 allocs/op
BenchmarkDbr/Update/Complex-2         	 1000000	       139.7 ns/op	     240 B/op	       3 allocs/op
BenchmarkDbr/Update/Complex-2         	 1000000	       188.3 ns/op	     240 B/op	       3 allocs/op
BenchmarkDbr/Update/Complex-2         	 1000000	       141.4 ns/op	     240 B/op	       3 allocs/op
BenchmarkDbr/Update/Complex-2         	 1000000	       174.5 ns/op	     240 B/op	       3 allocs/op
BenchmarkDbr/Delete/Simple-2          	 1000000	       513.4 ns/op	     320 B/op	      10 allocs/op
BenchmarkDbr/Delete/Simple-2          	 1000000	       494.3 ns/op	     320 B/op	      10 allocs/op
BenchmarkDbr/Delete/Simple-2          	 1000000	       435.8 ns/op	     320 B/op	      10 allocs/op
BenchmarkDbr/Delete/Simple-2          	 1000000	       448.3 ns/op	     320 B/op	      10 allocs/op
BenchmarkDbr/Delete/Simple-2          	 1000000	       413.1 ns/op	     320 B/op	      10 allocs/op
BenchmarkDbr/Delete/Complex-2         	 1000000	       654.4 ns/op	     800 B/op	      15 allocs/op
BenchmarkDbr/Delete/Complex-2         	 1000000	       679.8 ns/op	     800 B/op	      15 allocs/op
BenchmarkDbr/Delete/Complex-2         	 1000000	       677.0 ns/op	     800 B/op	      15 allocs/op
BenchmarkDbr/Delete/Complex-2         	 1000000	       674.1 ns/op	     800 B/op	      15 allocs/op
BenchmarkDbr/Delete/Complex-2         	 1000000	       690.9 ns/op	     800 B/op	      15 allocs/op
BenchmarkSquirrel/Insert/Simple-2     	 1000000	      4379 ns/op	    2488 B/op	      59 allocs/op
BenchmarkSquirrel/Insert/Simple-2     	 1000000	      4407 ns/op	    2488 B/op	      59 allocs/op
BenchmarkSquirrel/Insert/Simple-2     	 1000000	      4396 ns/op	    2488 B/op	      59 allocs/op
BenchmarkSquirrel/Insert/Simple-2     	 1000000	      4370 ns/op	    2488 B/op	      59 allocs/op
BenchmarkSquirrel/Insert/Simple-2     	 1000000	      4413 ns/op	    2488 B/op	      59 allocs/op
BenchmarkSquirrel/Insert/Bulk-2       	 1000000	      9556 ns/op	    5264 B/op	     115 allocs/op
BenchmarkSquirrel/Insert/Bulk-2       	 1000000	      8895 ns/op	    5264 B/op	     115 allocs/op
BenchmarkSquirrel/Insert/Bulk-2       	 1000000	     10453 ns/op	    5264 B/op	     115 allocs/op
BenchmarkSquirrel/Insert/Bulk-2       	 1000000	      9798 ns/op	    5264 B/op	     115 allocs/op
BenchmarkSquirrel/Insert/Bulk-2       	 1000000	      9141 ns/op	    5264 B/op	     115 allocs/op
BenchmarkSquirrel/Select/Simple-2     	 1000000	      5639 ns/op	    2976 B/op	      59 allocs/op
BenchmarkSquirrel/Select/Simple-2     	 1000000	      5536 ns/op	    2976 B/op	      59 allocs/op
BenchmarkSquirrel/Select/Simple-2     	 1000000	      5483 ns/op	    2976 B/op	      59 allocs/op
BenchmarkSquirrel/Select/Simple-2     	 1000000	      4932 ns/op	    2976 B/op	      59 allocs/op
BenchmarkSquirrel/Select/Simple-2     	 1000000	      5078 ns/op	    2976 B/op	      59 allocs/op
BenchmarkSquirrel/Select/Join-2       	 1000000	      6241 ns/op	    3752 B/op	      73 allocs/op
BenchmarkSquirrel/Select/Join-2       	 1000000	      6332 ns/op	    3752 B/op	      73 allocs/op
BenchmarkSquirrel/Select/Join-2       	 1000000	      6781 ns/op	    3752 B/op	      73 allocs/op
BenchmarkSquirrel/Select/Join-2       	 1000000	      6040 ns/op	    3752 B/op	      73 allocs/op
BenchmarkSquirrel/Select/Join-2       	 1000000	      6284 ns/op	    3752 B/op	      73 allocs/op
BenchmarkSquirrel/Update/Simple-2     	 1000000	      6833 ns/op	    3352 B/op	      73 allocs/op
BenchmarkSquirrel/Update/Simple-2     	 1000000	      5943 ns/op	    3352 B/op	      73 allocs/op
BenchmarkSquirrel/Update/Simple-2     	 1000000	      6115 ns/op	    3352 B/op	      73 allocs/op
BenchmarkSquirrel/Update/Simple-2     	 1000000	      6646 ns/op	    3352 B/op	      73 allocs/op
BenchmarkSquirrel/Update/Simple-2     	 1000000	      6704 ns/op	    3352 B/op	      73 allocs/op
BenchmarkSquirrel/Update/Complex-2    	 1000000	      6075 ns/op	    3256 B/op	      65 allocs/op
BenchmarkSquirrel/Update/Complex-2    	 1000000	      6065 ns/op	    3256 B/op	      65 allocs/op
BenchmarkSquirrel/Update/Complex-2    	 1000000	      6196 ns/op	    3256 B/op	      65 allocs/op
BenchmarkSquirrel/Update/Complex-2    	 1000000	      5796 ns/op	    3256 B/op	      65 allocs/op
BenchmarkSquirrel/Update/Complex-2    	 1000000	      5430 ns/op	    3256 B/op	      65 allocs/op
BenchmarkSquirrel/Delete/Simple-2     	 1000000	      3463 ns/op	    1912 B/op	      40 allocs/op
BenchmarkSquirrel/Delete/Simple-2     	 1000000	      3232 ns/op	    1912 B/op	      40 allocs/op
BenchmarkSquirrel/Delete/Simple-2     	 1000000	      3981 ns/op	    1912 B/op	      40 allocs/op
BenchmarkSquirrel/Delete/Simple-2     	 1000000	      3295 ns/op	    1912 B/op	      40 allocs/op
BenchmarkSquirrel/Delete/Simple-2     	 1000000	      3211 ns/op	    1912 B/op	      40 allocs/op
BenchmarkSquirrel/Delete/Complex-2    	 1000000	      3930 ns/op	    2408 B/op	      46 allocs/op
BenchmarkSquirrel/Delete/Complex-2    	 1000000	      4295 ns/op	    2408 B/op	      46 allocs/op
BenchmarkSquirrel/Delete/Complex-2    	 1000000	      3691 ns/op	    2408 B/op	      46 allocs/op
BenchmarkSquirrel/Delete/Complex-2    	 1000000	      3951 ns/op	    2408 B/op	      46 allocs/op
BenchmarkSquirrel/Delete/Complex-2    	 1000000	      4061 ns/op	    2408 B/op	      46 allocs/op
BenchmarkBob/Insert/Simple-2          	 1000000	      1761 ns/op	    1800 B/op	      33 allocs/op
BenchmarkBob/Insert/Simple-2          	 1000000	      1776 ns/op	    1800 B/op	      33 allocs/op
BenchmarkBob/Insert/Simple-2          	 1000000	      1708 ns/op	    1800 B/op	      33 allocs/op
BenchmarkBob/Insert/Simple-2          	 1000000	      1759 ns/op	    1800 B/op	      33 allocs/op
BenchmarkBob/Insert/Simple-2          	 1000000	      1791 ns/op	    1800 B/op	      33 allocs/op
BenchmarkBob/Insert/Bulk-2            	 1000000	      3917 ns/op	    3496 B/op	      91 allocs/op
BenchmarkBob/Insert/Bulk-2            	 1000000	      4057 ns/op	    3496 B/op	      91 allocs/op
BenchmarkBob/Insert/Bulk-2            	 1000000	      3826 ns/op	    3496 B/op	      91 allocs/op
BenchmarkBob/Insert/Bulk-2            	 1000000	      3811 ns/op	    3496 B/op	      91 allocs/op
BenchmarkBob/Insert/Bulk-2            	 1000000	      3868 ns/op	    3496 B/op	      91 allocs/op
BenchmarkBob/Select/Simple-2          	 1000000	      3178 ns/op	    2968 B/op	      63 allocs/op
BenchmarkBob/Select/Simple-2          	 1000000	      3201 ns/op	    2968 B/op	      63 allocs/op
BenchmarkBob/Select/Simple-2          	 1000000	      3680 ns/op	    2968 B/op	      63 allocs/op
BenchmarkBob/Select/Simple-2          	 1000000	      3281 ns/op	    2968 B/op	      63 allocs/op
BenchmarkBob/Select/Simple-2          	 1000000	      3420 ns/op	    2968 B/op	      63 allocs/op
BenchmarkBob/Select/Join-2            	 1000000	      3939 ns/op	    3912 B/op	      76 allocs/op
BenchmarkBob/Select/Join-2            	 1000000	      4552 ns/op	    3912 B/op	      76 allocs/op
BenchmarkBob/Select/Join-2            	 1000000	      4056 ns/op	    3912 B/op	      76 allocs/op
BenchmarkBob/Select/Join-2            	 1000000	      4137 ns/op	    3912 B/op	      76 allocs/op
BenchmarkBob/Select/Join-2            	 1000000	      4159 ns/op	    3912 B/op	      76 allocs/op
BenchmarkBob/Update/Simple-2          	 1000000	      3706 ns/op	    2640 B/op	      68 allocs/op
BenchmarkBob/Update/Simple-2          	 1000000	      3538 ns/op	    2640 B/op	      68 allocs/op
BenchmarkBob/Update/Simple-2          	 1000000	      3652 ns/op	    2640 B/op	      68 allocs/op
BenchmarkBob/Update/Simple-2          	 1000000	      4013 ns/op	    2640 B/op	      68 allocs/op
BenchmarkBob/Update/Simple-2          	 1000000	      3982 ns/op	    2640 B/op	      68 allocs/op
BenchmarkBob/Update/Complex-2         	 1000000	      4417 ns/op	    3080 B/op	      79 allocs/op
BenchmarkBob/Update/Complex-2         	 1000000	      4625 ns/op	    3080 B/op	      79 allocs/op
BenchmarkBob/Update/Complex-2         	 1000000	      4653 ns/op	    3080 B/op	      79 allocs/op
BenchmarkBob/Update/Complex-2         	 1000000	      4520 ns/op	    3080 B/op	      79 allocs/op
BenchmarkBob/Update/Complex-2         	 1000000	      4723 ns/op	    3080 B/op	      79 allocs/op
BenchmarkBob/Delete/Simple-2          	 1000000	      2477 ns/op	    1832 B/op	      42 allocs/op
BenchmarkBob/Delete/Simple-2          	 1000000	      2986 ns/op	    1832 B/op	      42 allocs/op
BenchmarkBob/Delete/Simple-2          	 1000000	      2872 ns/op	    1832 B/op	      42 allocs/op
BenchmarkBob/Delete/Simple-2          	 1000000	      2400 ns/op	    1832 B/op	      42 allocs/op
BenchmarkBob/Delete/Simple-2          	 1000000	      2361 ns/op	    1832 B/op	      42 allocs/op
BenchmarkBob/Delete/Complex-2         	 1000000	      3715 ns/op	    2544 B/op	      67 allocs/op
BenchmarkBob/Delete/Complex-2         	 1000000	      3957 ns/op	    2544 B/op	      67 allocs/op
BenchmarkBob/Delete/Complex-2         	 1000000	      3715 ns/op	    2544 B/op	      67 allocs/op
BenchmarkBob/Delete/Complex-2         	 1000000	      3584 ns/op	    2544 B/op	      67 allocs/op
BenchmarkBob/Delete/Complex-2         	 1000000	      3426 ns/op	    2544 B/op	      67 allocs/op
PASS
ok  	github.com/lkumarjain/benchmark-sql-builder	602.079s
