goos: linux
goarch: amd64
pkg: github.com/lkumarjain/benchmark/worker-pool
cpu: 11th Gen Intel(R) Core(TM) i7-1165G7 @ 2.80GHz
BenchmarkPond/Sleep=001ms/Concurrency=1-2         	 1000000	      1489 ns/op	     370 B/op	       7 allocs/op
BenchmarkPond/Sleep=001ms/Concurrency=1-2         	 1000000	      1030 ns/op	     369 B/op	       7 allocs/op
BenchmarkPond/Sleep=001ms/Concurrency=1-2         	 1000000	      1096 ns/op	     369 B/op	       7 allocs/op
BenchmarkPond/Sleep=001ms/Concurrency=1-2         	 1000000	       927.0 ns/op	     369 B/op	       7 allocs/op
BenchmarkPond/Sleep=001ms/Concurrency=1-2         	 1000000	      1271 ns/op	     369 B/op	       7 allocs/op
BenchmarkPond/Sleep=001ms/Concurrency=10-2        	 1000000	      1506 ns/op	     369 B/op	       7 allocs/op
BenchmarkPond/Sleep=001ms/Concurrency=10-2        	 1000000	      1569 ns/op	     369 B/op	       7 allocs/op
BenchmarkPond/Sleep=001ms/Concurrency=10-2        	 1000000	      1293 ns/op	     369 B/op	       7 allocs/op
BenchmarkPond/Sleep=001ms/Concurrency=10-2        	 1000000	      1032 ns/op	     369 B/op	       7 allocs/op
BenchmarkPond/Sleep=001ms/Concurrency=10-2        	 1000000	      1159 ns/op	     368 B/op	       7 allocs/op
BenchmarkPond/Sleep=001ms/Concurrency=50-2        	 1000000	      1150 ns/op	     368 B/op	       7 allocs/op
BenchmarkPond/Sleep=001ms/Concurrency=50-2        	 1000000	      1415 ns/op	     368 B/op	       7 allocs/op
BenchmarkPond/Sleep=001ms/Concurrency=50-2        	 1000000	      1221 ns/op	     369 B/op	       7 allocs/op
BenchmarkPond/Sleep=001ms/Concurrency=50-2        	 1000000	      1265 ns/op	     369 B/op	       7 allocs/op
BenchmarkPond/Sleep=001ms/Concurrency=50-2        	 1000000	      1054 ns/op	     368 B/op	       7 allocs/op
BenchmarkPond/Sleep=001ms/Concurrency=100-2       	 1000000	      1364 ns/op	     369 B/op	       7 allocs/op
BenchmarkPond/Sleep=001ms/Concurrency=100-2       	 1000000	      1115 ns/op	     368 B/op	       7 allocs/op
BenchmarkPond/Sleep=001ms/Concurrency=100-2       	 1000000	      1258 ns/op	     368 B/op	       7 allocs/op
BenchmarkPond/Sleep=001ms/Concurrency=100-2       	 1000000	      1172 ns/op	     369 B/op	       7 allocs/op
